cell_type	B cell	T cell CD4+	T cell CD8+	Neutrophil	Macrophage	Myeloid dendritic cell
TCGA-EW-A1J6-01A-11R-A13Q-07	0	0.1089427	0.1587623	0.1076021	0.0494962	0.4116142
TCGA-D8-A73X-01A-11R-A32P-07	0.08179224	0.08688702	0.08240863	0.08840679	0.07168022	0.3373802
TCGA-AO-A0JC-01A-11R-A056-07	1.673884	1.7872176	1.3781239	0.7764974	0	2.5485828
TCGA-E2-A1IF-01A-11R-A144-07	0	0.14138817	0.07134564	0.05949252	0	0.33249185
TCGA-E9-A1R7-01A-11R-A14M-07	0.12415346	0.01742238	0.21200435	0.05989522	0.0917502	0.24979412
TCGA-LL-A73Z-01A-11R-A32P-07	0.01502104	0.19689499	0.19694802	0.15692293	0.09722039	0.55550035
TCGA-EW-A6SD-01A-12R-A33J-07	0.12488117	0.10361675	0.12817275	0.12040004	0.05280064	0.55255772
TCGA-A8-A08C-01A-11R-A00Z-07	0.06623923	0.06991737	0.08533844	0.03850608	0	0.23894956
TCGA-D8-A1XS-01A-11R-A14M-07	0.03145711	0.07735296	0.14144122	0.1008001	0.13865011	0.34450928
TCGA-A7-A425-01A-11R-A24H-07	0.0521361	0.1836431	0	0.1102275	0.1133972	0.478936
TCGA-AO-A0J9-01A-11R-A034-07	0	0.1666725	0.2712126	0.1154564	0.1904455	0.6782766
TCGA-B6-A0IN-01A-11R-A034-07	0.13488319	0.13197621	0.13977331	0.08368195	0.11357565	0.58739392
TCGA-AR-A2LM-01A-11R-A180-07	0.1069309	0.1539869	0.2902873	0.1532465	0.1413555	0.583162
TCGA-E2-A56Z-01A-12R-A29R-07	0.03020224	0.01637784	0.02229194	0.01556826	0	0.06867867
TCGA-AR-A24U-01A-11R-A169-07	0.09770861	0.23076699	0.3324598	0.310467	0.15248885	0.8615793
TCGA-BH-A0E2-01A-11R-A056-07	0.02505288	0.05781581	0.11263323	0.09698468	0.0537097	0.31449606
